LOCATION,CountryName,INDICATOR,SUBJECT,MEASURE,CountryYear,TIME,PKT,GDP,RoadNetwork,Population,Urbanization,HDI,A4,A9,A14,A19,A24,A29,A34,A39,A44,A49,A54,A59,A64,A69,A70,OilPricesGlobal,Oil_PerCapitaMWh
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1970,1970,104210,41261059469,,12507000,85.265,#N/A,0.096637055,0.097417155,0.096326162,0.086317064,0.08805526,0.071238752,0.061848574,0.057353411,0.063363751,0.061783249,0.050961893,0.047488601,0.038917733,0.030019698,0.052271642,#N/A,22.10648726
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1971,1971,109610,45138313361,,12937000,85.3962,#N/A,0.095267004,0.09552538,0.0951923,0.086548034,0.086848568,0.073522217,0.062906055,0.057572637,0.061236837,0.060696512,0.051657739,0.046899656,0.039327662,0.030441202,0.056358197,#N/A,22.83662295
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1972,1972,116155,51954439252,,13177000,85.5274,#N/A,0.09417348,0.093928692,0.094326665,0.08697949,0.085892514,0.07590423,0.06407867,0.057922973,0.059330521,0.059793308,0.052454064,0.046443905,0.039818207,0.030921524,0.058031756,#N/A,22.85439012
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1973,1973,120295,63721973094,,13380000,85.6586,#N/A,0.093290915,0.09255741,0.093665526,0.087563073,0.085127644,0.078359571,0.06533803,0.05837275,0.057593186,0.059030238,0.053326245,0.046089717,0.040369711,0.031446239,0.057869747,#N/A,24.02759646
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1974,1974,127763,88809137804,,13723000,85.7898,#N/A,0.092531773,0.091321623,0.093122386,0.088225349,0.084474332,0.080834467,0.06663443,0.058873388,0.055963425,0.058350649,0.054232751,0.045794352,0.040950063,0.031990922,0.056700089,#N/A,25.12673869
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1975,1975,132702,97147343985,,13893000,85.921,#N/A,0.091830774,0.090155142,0.092632347,0.08890909,0.083873126,0.083283247,0.067927528,0.059386911,0.054397519,0.057712648,0.055140213,0.045525793,0.041533689,0.032535925,0.055156048,#N/A,24.49906971
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1976,1976,137556,1.04895E+11,,14033000,85.8888,#N/A,0.088766952,0.089811366,0.091443175,0.088892758,0.084400791,0.083088627,0.07055312,0.060483178,0.054556329,0.056204986,0.05464074,0.046441369,0.04130506,0.033220993,0.056190557,#N/A,24.74734546
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1977,1977,143460,1.10174E+11,,14192000,85.8566,#N/A,0.085806757,0.089510576,0.090316604,0.088911701,0.084949756,0.082931005,0.073147487,0.06157859,0.054732998,0.054753235,0.054173936,0.047354633,0.041097783,0.033903731,0.056831206,#N/A,25.63321748
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1978,1978,148114,1.18309E+11,,14358000,85.8244,#N/A,0.082910063,0.089215197,0.089213457,0.088929086,0.085485647,0.082775755,0.075684292,0.062649303,0.054905108,0.053332464,0.053716622,0.048247355,0.040894501,0.034571132,0.057470016,#N/A,25.39801475
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1979,1979,152117,1.34679E+11,,14514000,85.7922,#N/A,0.080037524,0.088883537,0.088091858,0.088903423,0.085968698,0.08258422,0.078128796,0.063666327,0.055047077,0.051917464,0.053243631,0.049097228,0.040676086,0.035207217,0.058546912,#N/A,25.53052977
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1980,1980,153096,1.49738E+11,,14692000,85.76,#N/A,0.077165697,0.088486634,0.086923914,0.088805433,0.086370078,0.082329372,0.080452748,0.064607637,0.055140617,0.050492568,0.052737895,0.049887197,0.040429354,0.035799731,0.060371125,31.81,24.16832906
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1981,1981,155857,1.76599E+11,,14927000,85.7,#N/A,0.077028161,0.085717544,0.086702762,0.087739732,0.086298695,0.082742947,0.080397239,0.067492342,0.056576394,0.050857554,0.051540222,0.049570107,0.04142101,0.035668125,0.060247164,35.88,23.06360585
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1982,1982,163510,1.93722E+11,,15178000,85.64,#N/A,0.07682528,0.082943803,0.086409786,0.086623253,0.086151953,0.083071727,0.080271239,0.070241604,0.057924194,0.051167538,0.050327593,0.049216915,0.042349804,0.035508029,0.060967284,35.42,22.66066597
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1983,1983,165265,1.76986E+11,,15369000,85.58,#N/A,0.07655866,0.08017133,0.086046895,0.085459257,0.085931517,0.083316545,0.08007628,0.072852076,0.059182763,0.051422858,0.049102829,0.048829011,0.043214912,0.035320292,0.062514775,30.88,22.12420303
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1984,1984,173548,1.93194E+11,,15544000,85.52,#N/A,0.076234175,0.077409998,0.085620787,0.084255596,0.085643863,0.083482999,0.079818384,0.075325076,0.060354459,0.051626813,0.04787127,0.04841047,0.044018136,0.035107721,0.064820253,29.19,22.86606738
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1985,1985,180955,1.80191E+11,,15758000,85.46,#N/A,0.075860917,0.074671952,0.085141748,0.083023332,0.085299115,0.08358042,0.079506971,0.077666244,0.06144477,0.051785053,0.046639858,0.047967319,0.044763541,0.03487458,0.067774181,28.17,21.38840672
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1986,1986,187054,1.81977E+11,,16018400,85.448,#N/A,0.075451027,0.074529012,0.082495747,0.082785745,0.084175149,0.083514927,0.080011287,0.077544213,0.0640711,0.053043174,0.046966859,0.046841527,0.044440845,0.035714306,0.068415082,14.49,21.55770342
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1987,1987,191813,1.89041E+11,,16263900,85.436,#N/A,0.074999868,0.074336899,0.079875178,0.082496066,0.083026542,0.083391291,0.080441695,0.077370161,0.0665669,0.054222644,0.047249481,0.045718085,0.04409645,0.036501312,0.069707427,19,21.64150407
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1988,1988,201488,2.357E+11,,16532200,85.424,#N/A,0.074548106,0.0741359,0.077323498,0.082199012,0.081898359,0.083254703,0.080841751,0.07718602,0.068968067,0.055352759,0.047513307,0.04462184,0.043754272,0.03725532,0.071147085,15.93,22.26980013
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1989,1989,211274,2.99318E+11,,16814400,85.412,#N/A,0.074145091,0.073975505,0.074888459,0.08194933,0.080843774,0.083160886,0.08126644,0.077043356,0.071324907,0.056472581,0.0477907,0.043580971,0.043443148,0.038002611,0.072112241,17.63,22.67654221
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1990,1990,217783,3.10838E+11,10.5,17065100,85.4,0.866,0.073822347,0.073887973,0.072595105,0.081782518,0.079895097,0.083146394,0.081753215,0.076975849,0.07367694,0.057610899,0.048103779,0.042611311,0.043181298,0.038762536,0.072194739,24.21,22.6530146
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1991,1991,217525,3.25358E+11,10.7,17284000,85.5412,0.867,0.073338633,0.073307061,0.07230091,0.079302472,0.079543142,0.081659533,0.081434389,0.07725966,0.073610851,0.059968355,0.049217428,0.042920709,0.042306782,0.038575137,0.07525494,20.7,21.72163591
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1992,1992,221074,3.24878E+11,10.9,17495000,85.6824,0.871,0.07293559,0.072809238,0.072081646,0.076958924,0.079274337,0.080286368,0.081199645,0.077608482,0.073615173,0.06232247,0.050349009,0.043262405,0.041493793,0.038428483,0.077374436,20.16,21.52432557
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1993,1993,227316,3.11529E+11,11.1,17667000,85.8236,0.874,0.072593434,0.072374418,0.071918391,0.074724243,0.079067773,0.079001848,0.08102771,0.078004004,0.073671387,0.064665843,0.051489828,0.043626707,0.040729021,0.03831238,0.078793014,17.91,22.3987666
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1994,1994,232454,3.22201E+11,11.3,17855000,85.9648,0.876,0.072284114,0.071974392,0.071783808,0.072564704,0.078893326,0.077773096,0.080887815,0.078418047,0.073752064,0.066980307,0.052623552,0.043998226,0.039995251,0.038212192,0.079859107,16.76,22.98903786
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1995,1995,238963,3.67216E+11,11.6,18072000,86.106,0.885,0.071986293,0.071587777,0.071656964,0.070456122,0.078727951,0.076575813,0.08075639,0.078828587,0.073836027,0.069249982,0.053736682,0.044364811,0.039279836,0.038116732,0.080840033,18.53,23.45332111
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1996,1996,242627,4.00303E+11,11.8,18311000,86.3178,0.888,0.071006434,0.071519625,0.071316178,0.07008147,0.076121264,0.076499115,0.079337822,0.079072558,0.07419681,0.06941736,0.056385469,0.04553608,0.039737771,0.037545771,0.082226272,21.81,23.55782292
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1997,1997,244104,4.34568E+11,,18517000,86.5296,0.891,0.070043053,0.071448802,0.070978451,0.069710659,0.073564875,0.076419641,0.077944453,0.079306882,0.074545777,0.069577249,0.058975483,0.046680179,0.040183826,0.036984631,0.083636041,21.78,23.72721226
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1998,1998,246481,3.98899E+11,11.8,18711000,86.7414,0.894,0.069093907,0.071373452,0.070641811,0.069341732,0.071055704,0.076335402,0.076573638,0.079529643,0.074881185,0.069727949,0.061506432,0.047796453,0.040617184,0.036432104,0.085093405,14.6,23.42787658
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS1999,1999,251919,3.88395E+11,10.5,18926000,86.9532,0.897,0.068158849,0.071293794,0.070306368,0.068974783,0.068592965,0.076246632,0.075225081,0.079741212,0.075203439,0.069869766,0.063979579,0.048885531,0.041038167,0.035888089,0.086595745,18.38,23.9245328
AUS,Australia,PASSTRANSP,ROAD,MLN_PKM,AUS2000,2000,256807,4.15034E+11,10.4,19153000,87.165,0.899,0.067234162,0.071206266,0.069968516,0.068606258,0.066172366,0.07614952,0.073894565,0.079937716,0.075508926,0.06999929,0.066392649,0.049945385,0.041444894,0.035350611,0.088188877,30.79,23.53647754
